company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Nacre Outsourcing,6-10 Yrs,Should Be Able To Understand Business Needs And Apply Analytical Concepts To Generate Actionable,Big Data Analytics Role - Insurance Domain - Bfs,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R",https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-100918900010?src=jobsearchDesk&sid=15376475157970&xp=13&px=1,Gurgaon,N/A,12 days ago,Not Disclosed

Huquo,3-8 Yrs,"Strong Sas At Least 3 Years Of Experience In Sas, Vba, And Sql (Mandatory);- Should Have Analytical",Senior Business Analyst - Sas Data - Analytics Firm,"Sql, Business Analysis, Data Analytics, Data Mining, Sas, Vba, Regression",https://www.naukri.com/job-listings-Senior-Business-Analyst-SAS-Data-Analytics-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-8-years-230818900271?src=jobsearchDesk&sid=15376475157970&xp=14&px=1,"Delhi NCR, Gurgaon",HuQuo Consulting,25 days ago,Not Disclosed

Client Of Nastech Consulting,3-7 Yrs,"Should Have An Relevant Experience Of 3-5 Years In The Field Of Analytics / Data Science, Designing",Senior Business Analyst - Data Analytics,"Oracle Sql, Obiee, Data Analysis, Data Mining, Data Analytics",https://www.naukri.com/job-listings-Senior-Business-Analyst-Data-Analytics-Client-of-Nastech-Consulting-Delhi-3-to-7-years-240718900246?src=jobsearchDesk&sid=15376475157970&xp=15&px=1,Delhi,N/A,60 days ago,Not Disclosed

Cargill Business Services India Private Limited,4-6 Yrs,"4+ Years Practical Experience With Sas, Etl, Data Processing And Data Analytics;3 5 Years Of Experience",Manager - Data & Analytics,"Data Analytics, Data Analysis, Analytics, Big Data Analyst, Sas, Etl",https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-4-to-6-years-240818900671?src=jobsearchDesk&sid=15376475157970&xp=16&px=1,Gurgaon,N/A,30 days ago,Not Disclosed

Eygds (India) Llp,5-8 Yrs,O	Strong Interpersonal And Good Written & Oral Communication Skills;In Computer Science With A,Data Analytics- Ey Gds,"Data Analytics, Sql, Sql Server, Python, R, Sas, Analytics, Data Mining",https://www.naukri.com/job-listings-Data-Analytics-EY-GDS-EYGDS-INDIA-LLP-Gurgaon-5-to-8-years-240818000151?src=jobsearchDesk&sid=15376475157970&xp=17&px=1,Gurgaon,Sunny Singh,30 days ago,Not Disclosed

